Date,Adj Close_CUAN.JK,Close_CUAN.JK,High_CUAN.JK,Low_CUAN.JK,Open_CUAN.JK,Volume_CUAN.JK
2025-01-16,1372.5,1372.5,1400.0,1337.5,1360.0,108998000
2025-01-17,1372.5,1372.5,1480.0,1360.0,1375.0,165996000
2025-01-20,1410.0,1410.0,1460.0,1375.0,1387.5,125232000
2025-01-21,1425.0,1425.0,1447.5,1397.5,1430.0,92698000
2025-01-22,1465.0,1465.0,1475.0,1430.0,1437.5,113507000
2025-01-23,1480.0,1480.0,1560.0,1465.0,1490.0,148579000
2025-01-24,1430.0,1430.0,1487.5,1350.0,1480.0,187939000
2025-01-30,1440.0,1440.0,1485.0,1405.0,1472.5,83020000
2025-01-31,1442.5,1442.5,1470.0,1437.5,1460.0,55257000
2025-02-03,1392.5,1392.5,1450.0,1380.0,1440.0,57068000
2025-02-04,1422.5,1422.5,1440.0,1405.0,1410.0,51218000
2025-02-05,1395.0,1395.0,1437.5,1385.0,1435.0,44990000
2025-02-06,1415.0,1415.0,1427.5,1395.0,1422.5,56050000
2025-02-07,1132.5,1132.5,1132.5,1132.5,1132.5,17147000
2025-02-10,907.5,907.5,1000.0,907.5,907.5,391873000
2025-02-11,735.0,735.0,920.0,732.5,880.0,1063169000
2025-02-12,742.5,742.5,780.0,690.0,752.5,408818000
2025-02-13,705.0,705.0,765.0,665.0,765.0,396072000
2025-02-14,750.0,750.0,785.0,705.0,720.0,288999000
2025-02-17,860.0,860.0,860.0,775.0,780.0,367341000
2025-02-18,835.0,835.0,875.0,825.0,870.0,226992000
2025-02-19,815.0,815.0,847.5,795.0,835.0,118786000
2025-02-20,790.0,790.0,837.5,785.0,817.5,112931000
2025-02-21,780.0,780.0,802.5,765.0,800.0,91229000
2025-02-24,740.0,740.0,792.5,732.5,782.5,109590000
2025-02-25,720.0,720.0,757.5,702.5,747.5,78394000
2025-02-26,730.0,730.0,765.0,717.5,737.5,75207000
2025-02-27,710.0,710.0,740.0,702.5,737.5,60521000
2025-02-28,670.0,670.0,727.5,650.0,712.5,77898000
2025-03-03,745.0,745.0,745.0,677.5,680.0,74507000
2025-03-04,690.0,690.0,750.0,670.0,740.0,93341000
2025-03-05,712.5,712.5,725.0,692.5,692.5,41214000
2025-03-06,730.0,730.0,755.0,720.0,725.0,56090000
2025-03-07,832.5,832.5,850.0,722.5,742.5,270065000
2025-03-10,767.5,767.5,865.0,762.5,832.5,191630000
2025-03-11,740.0,740.0,765.0,705.0,745.0,97585000
2025-03-12,737.5,737.5,755.0,722.5,742.5,47718000
2025-03-13,730.0,730.0,765.0,727.5,747.5,43973000
2025-03-14,710.0,710.0,735.0,700.0,720.0,30559000
2025-03-17,687.5,687.5,725.0,677.5,720.0,75317000
2025-03-18,607.5,607.5,700.0,550.0,700.0,247720000
2025-03-19,647.5,647.5,655.0,587.5,607.5,93337000
2025-03-20,672.5,672.5,695.0,640.0,652.5,104362000
2025-03-21,675.0,675.0,747.5,640.0,687.5,194585000
2025-03-24,630.0,630.0,680.0,587.5,675.0,86345000
2025-03-25,617.5,617.5,645.0,612.5,632.5,24911000
2025-03-26,645.0,645.0,657.5,617.5,617.5,31219000
2025-03-27,645.0,645.0,667.5,632.5,647.5,40370000
2025-04-08,555.0,555.0,590.0,550.0,550.0,94454000
2025-04-09,474.0,474.0,562.5,473.0,525.0,158339000
2025-04-10,552.5,552.5,577.5,510.0,532.5,127521000
2025-04-11,600.0,600.0,650.0,520.0,545.0,154331000
2025-04-14,645.0,645.0,657.5,550.0,570.0,116569000
2025-04-15,667.5,667.5,690.0,645.0,655.0,95930000
2025-04-16,650.0,650.0,692.5,650.0,672.5,61525000
2025-04-17,640.0,640.0,665.0,635.0,650.0,31406000
2025-04-21,647.5,647.5,685.0,642.5,642.5,41956000
2025-04-22,680.0,680.0,722.5,632.5,650.0,124109000
2025-04-23,700.0,700.0,720.0,692.5,702.5,78969000
2025-04-24,682.5,682.5,727.5,672.5,710.0,65100000
2025-04-25,697.5,697.5,715.0,687.5,695.0,29993000
2025-04-28,715.0,715.0,750.0,687.5,705.0,189750000
2025-04-29,697.5,697.5,727.5,697.5,720.0,59871000
2025-04-30,712.5,712.5,720.0,700.0,700.0,41464000
2025-05-02,767.5,767.5,772.5,715.0,717.5,107466000
2025-05-05,777.5,777.5,797.5,762.5,790.0,187554000
2025-05-06,877.5,877.5,897.5,770.0,777.5,713894000
2025-05-07,880.0,880.0,920.0,880.0,885.0,308445000
2025-05-08,852.5,852.5,892.5,847.5,880.0,145889000
2025-05-09,877.5,877.5,897.5,862.5,862.5,87628000
2025-05-14,967.5,967.5,972.5,882.5,900.0,281441000
2025-05-15,1015.0,1015.0,1040.0,967.5,972.5,232561000
2025-05-16,1030.0,1030.0,1030.0,992.5,1015.0,109833000
2025-05-19,995.0,995.0,1040.0,995.0,1040.0,97651000
2025-05-20,1167.5,1167.5,1182.5,1112.5,1140.0,659743000
2025-05-21,1117.5,1117.5,1152.5,1070.0,1085.0,417306000
2025-05-22,1110.0,1110.0,1137.5,1090.0,1100.0,150709000
2025-05-23,1115.0,1115.0,1127.5,1100.0,1112.5,67857000
2025-05-26,1137.5,1137.5,1177.5,1117.5,1125.0,188803000
2025-05-27,1135.0,1135.0,1190.0,1115.0,1145.0,250137000
2025-05-28,1140.0,1140.0,1160.0,1122.5,1140.0,110095000
2025-06-02,1172.5,1172.5,1205.0,1142.5,1142.5,235589000
2025-06-03,1180.0,1180.0,1190.0,1160.0,1185.0,83432000
2025-06-04,1152.5,1152.5,1185.0,1140.0,1180.0,105477000
2025-06-05,1185.0,1185.0,1237.5,1147.5,1170.0,258189000
2025-06-10,1285.0,1285.0,1337.5,1200.0,1200.0,391129000
2025-06-11,1190.0,1190.0,1282.5,1187.5,1282.5,479428000
2025-06-12,1187.5,1187.5,1215.0,1165.0,1180.0,166319000
2025-06-13,1175.0,1175.0,1190.0,1150.0,1187.5,144920000
2025-06-16,1202.5,1202.5,1227.5,1165.0,1167.5,208153000
2025-06-17,1187.5,1187.5,1222.5,1187.5,1220.0,115788000
2025-06-18,1187.5,1187.5,1220.0,1185.0,1190.0,149451000
2025-06-19,1165.0,1165.0,1207.5,1152.5,1192.5,138050000
2025-06-20,1180.0,1180.0,1185.0,1145.0,1167.5,106968000
2025-06-23,1127.5,1127.5,1160.0,1102.5,1130.0,155012000
2025-06-24,1175.0,1175.0,1220.0,1155.0,1165.0,180367000
2025-06-25,1190.0,1190.0,1207.5,1190.0,1197.5,187634000
2025-06-26,1192.5,1192.5,1230.0,1175.0,1187.5,221517000
2025-06-30,1260.0,1260.0,1267.5,1202.5,1212.5,306041000
2025-07-01,1280.0,1280.0,1287.5,1252.5,1270.0,151294000
2025-07-02,1205.0,1205.0,1297.5,1190.0,1282.5,219588000
2025-07-03,1182.5,1182.5,1217.5,1177.5,1215.0,85550000
2025-07-04,1185.0,1185.0,1197.5,1140.0,1195.0,99337000
2025-07-07,1235.0,1235.0,1235.0,1162.5,1185.0,120432000
2025-07-08,1295.0,1295.0,1300.0,1222.5,1235.0,274133000
2025-07-09,1340.0,1340.0,1350.0,1297.5,1300.0,298668000
2025-07-10,1420.0,1420.0,1440.0,1325.0,1350.0,452075000
2025-07-11,1440.0,1440.0,1445.0,1397.5,1427.5,248043000
2025-07-14,1687.5,1687.5,1720.0,1560.0,1640.0,925826000
2025-07-15,1625.0,1625.0,1795.0,1580.0,1640.0,694431000
2025-07-16,1665.0,1665.0,1710.0,1500.0,1630.0,602401200
2025-07-17,1650.0,1650.0,1725.0,1640.0,1685.0,389304100
2025-07-18,1655.0,1655.0,1710.0,1645.0,1665.0,326322400
2025-07-21,1605.0,1605.0,1675.0,1585.0,1675.0,270569800
2025-07-22,1575.0,1575.0,1625.0,1530.0,1615.0,406255200
2025-07-23,1555.0,1555.0,1585.0,1505.0,1575.0,156030200
2025-07-24,1535.0,1535.0,1590.0,1530.0,1560.0,145457200
2025-07-25,1530.0,1530.0,1570.0,1510.0,1535.0,149285600
2025-07-28,1560.0,1560.0,1570.0,1520.0,1545.0,180645300
2025-07-29,1625.0,1625.0,1630.0,1540.0,1565.0,235303500
2025-07-30,1570.0,1570.0,1625.0,1560.0,1625.0,182139700
2025-07-31,1535.0,1535.0,1585.0,1530.0,1570.0,91728200
2025-08-01,1525.0,1525.0,1565.0,1525.0,1550.0,99045000
2025-08-04,1415.0,1415.0,1530.0,1380.0,1525.0,383323000
2025-08-05,1450.0,1450.0,1470.0,1315.0,1420.0,398760700
2025-08-06,1530.0,1530.0,1600.0,1470.0,1475.0,529745200
2025-08-07,1460.0,1460.0,1545.0,1450.0,1535.0,306099900
2025-08-08,1565.0,1565.0,1750.0,1560.0,1705.0,768553600
2025-08-11,1535.0,1535.0,1590.0,1520.0,1575.0,241535300
2025-08-12,1575.0,1575.0,1600.0,1535.0,1535.0,224305200
2025-08-13,1625.0,1625.0,1650.0,1580.0,1580.0,399438600
2025-08-14,1610.0,1610.0,1685.0,1605.0,1645.0,296282000
2025-08-15,1550.0,1550.0,1635.0,1550.0,1630.0,196417700
2025-08-19,1555.0,1555.0,1590.0,1550.0,1555.0,116868000
2025-08-20,1615.0,1615.0,1625.0,1560.0,1570.0,219455300
2025-08-21,1645.0,1645.0,1665.0,1580.0,1620.0,295675600
2025-08-22,1635.0,1635.0,1665.0,1620.0,1650.0,220944600
2025-08-25,1630.0,1630.0,1650.0,1615.0,1640.0,170274500
2025-08-26,1700.0,1700.0,1700.0,1580.0,1640.0,1568520900
2025-08-27,1625.0,1625.0,1665.0,1605.0,1650.0,341000200
2025-08-28,1615.0,1615.0,1645.0,1610.0,1635.0,128762800
2025-08-29,1560.0,1560.0,1610.0,1495.0,1600.0,245060400
2025-09-01,1505.0,1505.0,1535.0,1430.0,1450.0,169126600
2025-09-02,1525.0,1525.0,1560.0,1520.0,1520.0,68121900
2025-09-03,1520.0,1520.0,1550.0,1510.0,1535.0,57669600
2025-09-04,1530.0,1530.0,1535.0,1500.0,1520.0,56909500
2025-09-08,1475.0,1475.0,1520.0,1460.0,1500.0,94002800
2025-09-09,1430.0,1430.0,1490.0,1405.0,1475.0,85714900
2025-09-10,1420.0,1420.0,1465.0,1415.0,1465.0,55881900
2025-09-11,1420.0,1420.0,1445.0,1405.0,1425.0,58880600
2025-09-12,1430.0,1430.0,1470.0,1420.0,1435.0,73018400
2025-09-15,1505.0,1505.0,1505.0,1430.0,1435.0,85823000
2025-09-16,1470.0,1470.0,1520.0,1455.0,1510.0,59121600
2025-09-17,1505.0,1505.0,1530.0,1465.0,1480.0,106948700
2025-09-18,1580.0,1580.0,1600.0,1505.0,1520.0,238714800
2025-09-19,1590.0,1590.0,1600.0,1550.0,1590.0,138605600
2025-09-22,1640.0,1640.0,1680.0,1570.0,1590.0,355262300
